ButterflyNum,Sex,Age,Pre_mass,Post_mass,mass_diff,Rear_Condition,Lipid_content
CS4,Female,8,0.2525,0.246,0.0065,Summer,0.0053
CS7,Female,8,0.2509,0.2443,0.0066,Summer,0.0022
KS2,Male,8,0.5202,0.5094,0.0108,Summer,0.003
CS5,Female,8,0.364,0.3474,0.0166,Summer,0.0051
KS3,Male,8,0.6323,0.6208,0.0115,Summer,0.0027
CS2,Female,8,0.2698,0.2635,0.0063,Summer,0.0028
CS3,Female,8,0.4334,0.4053,0.0281,Summer,0.0059
CS30,Male,8,0.4107,0.4056,0.0051,Summer,0.0021
KS11,Female,8,0.5298,0.5207,0.0091,Summer,0.029
CF13,Female,8,0.492,0.4682,0.0238,Fall,0.0091
SF1,Female,8,0.3584,0.3524,0.006,Fall,0.0013
CF9,Female,8,0.3746,0.3631,0.0115,Fall,0.0079
CF5,Female,8,0.3849,0.3797,0.0052,Fall,0.002
KF2,Male,8,0.5412,0.5359,0.0053,Fall,0.0047
CF2,Female,9,0.358,0.3514,0.0066,Fall,0.0015
KS7,Female,10,0.5419,0.5347,0.0072,Summer,0.0133
KS8,Male,10,0.5937,0.5803,0.0134,Summer,0.0025
KS12,Female,9,0.4727,0.4648,0.0079,Summer,0.0067
KF5,Male,9,0.667,0.6621,0.0049,Fall,0.0162
CF31,Male,8,0.4618,0.4555,0.0063,Fall,0.0076
KF11,Male,9,0.5163,0.5053,0.011,Fall,0.0023
KF18,Male,8,0.4558,0.4512,0.0046,Fall,0.0022
KF16,Male,8,0.6419,0.6355,0.0064,Fall,0.0199
